Date,Price,Open,High,Low,Vol.,Change %
2022-06-17,631.3,630.2,638.0,630.2,-,-4.09%
2022-06-16,658.25,663.0,663.0,655.25,0.07K,-0.45%
2022-06-15,661.25,661.5,674.5,656.25,0.21K,-0.82%
2022-06-14,666.75,662.5,670.5,653.0,0.26K,1.06%
2022-06-13,659.75,650.0,661.75,631.5,0.27K,1.31%
2022-06-10,651.25,669.75,670.0,649.0,0.12K,-2.43%
2022-06-09,667.5,661.75,677.0,657.5,0.11K,0.91%
2022-06-08,661.5,668.25,668.25,650.5,0.24K,-0.97%
2022-06-07,668.0,680.75,694.75,665.25,0.23K,-1.80%
2022-06-06,680.25,690.0,690.75,671.25,0.12K,-1.48%
2022-06-03,690.5,655.0,692.5,654.0,0.22K,5.66%
2022-06-02,653.5,648.75,662.75,647.25,0.26K,1.08%
2022-06-01,646.5,670.25,670.25,645.25,0.31K,-3.47%
2022-05-31,669.75,704.0,708.25,663.75,0.56K,-0.26%
2022-05-30,671.5,670.0,671.5,670.0,-,6.04%
2022-05-27,633.25,622.5,635.0,618.25,0.05K,-7.59%
2022-05-26,685.25,674.5,687.0,673.75,0.15K,0.66%
2022-05-25,680.75,674.75,681.75,658.75,0.31K,0.96%
2022-05-24,674.25,632.5,674.75,632.5,0.57K,7.07%
2022-05-23,629.75,614.5,644.25,614.25,0.14K,2.77%
2022-05-20,612.75,625.0,625.0,607.0,0.13K,-2.39%
2022-05-19,627.75,644.75,644.75,617.5,0.15K,-2.18%
2022-05-18,641.75,655.75,655.75,630.75,0.13K,-1.84%
2022-05-17,653.75,639.5,658.5,628.25,0.30K,2.23%
2022-05-16,639.5,622.25,649.5,622.25,0.22K,9.13%
2022-05-13,586.0,596.25,596.25,587.0,0.00K,-0.68%
2022-05-12,590.0,566.5,590.0,563.0,0.02K,5.03%
2022-05-11,561.75,552.0,564.0,551.25,0.02K,2.00%
2022-05-10,550.75,561.5,561.5,544.0,0.01K,-1.48%
2022-05-09,559.0,570.25,570.5,546.0,0.05K,-2.06%
2022-05-06,570.75,589.75,591.0,575.0,0.01K,-2.60%
2022-05-05,586.0,596.5,596.5,585.0,0.01K,-1.55%
2022-05-04,595.25,600.0,600.0,595.75,0.02K,-15.27%
2022-05-03,702.5,690.0,690.0,690.0,0.01K,2.70%
2022-05-02,684.0,680.5,680.5,680.5,0.01K,1.26%
2022-04-29,675.5,705.0,710.0,689.5,0.04K,-2.53%
2022-04-28,693.0,676.0,725.0,675.0,0.06K,3.24%
2022-04-27,671.25,696.25,696.5,665.0,0.08K,-3.28%
2022-04-26,694.0,721.5,721.5,680.0,0.13K,-2.97%
2022-04-25,715.25,721.25,745.75,713.5,0.18K,-0.83%
2022-04-22,721.25,710.25,726.25,708.25,0.18K,1.37%
2022-04-21,711.5,728.5,731.0,705.0,0.18K,-1.66%
2022-04-20,723.5,741.0,741.0,724.0,0.24K,-3.08%
2022-04-19,746.5,763.25,764.0,743.0,0.19K,-1.94%
2022-04-18,761.25,745.0,767.0,735.0,0.25K,0.56%
2022-04-14,757.0,795.0,799.75,756.75,0.34K,-4.99%
2022-04-13,796.75,801.25,806.75,791.25,0.26K,-1.27%
2022-04-12,807.0,803.0,811.0,799.75,0.16K,0.50%
2022-04-11,803.0,786.25,807.75,786.25,0.17K,1.07%
2022-04-08,794.5,772.75,797.25,766.0,0.26K,3.55%
2022-04-07,767.25,753.75,772.25,750.0,0.19K,1.96%
2022-04-06,752.5,742.0,755.5,737.0,0.16K,0.97%
2022-04-05,745.25,730.0,747.0,730.0,0.17K,2.02%
2022-04-04,730.5,734.75,741.0,729.25,0.19K,-1.28%
2022-04-01,740.0,729.5,740.75,720.75,0.26K,1.72%
2022-03-31,727.5,728.5,733.25,713.25,0.23K,-0.34%
2022-03-30,730.0,713.0,741.0,712.0,0.21K,1.53%
2022-03-29,719.0,756.0,760.0,716.0,0.21K,-4.89%
2022-03-28,756.0,732.75,759.5,727.75,0.23K,2.44%
2022-03-25,738.0,710.75,741.75,702.5,0.21K,4.94%
2022-03-24,703.25,719.5,720.25,693.5,0.20K,-2.60%
2022-03-23,722.0,722.0,736.0,719.5,0.14K,-0.28%
2022-03-22,724.0,722.25,729.0,716.5,0.19K,-0.41%
2022-03-21,727.0,693.5,729.25,693.5,0.40K,4.60%
2022-03-18,695.0,680.0,695.0,680.0,0.29K,2.17%
2022-03-17,680.25,665.5,681.0,663.25,0.24K,2.33%
2022-03-16,664.75,658.25,672.75,657.5,0.15K,0.49%
2022-03-15,661.5,663.0,664.0,645.25,0.34K,-8.38%
2022-03-14,722.0,602.75,610.0,602.5,0.01K,16.97%
2022-03-11,617.25,601.75,615.5,601.5,0.04K,1.35%
2022-03-10,609.0,581.25,617.0,581.25,0.06K,3.79%
2022-03-09,586.75,583.5,590.5,582.5,0.02K,-0.51%
2022-03-08,589.75,583.0,595.25,565.0,0.06K,0.77%
2022-03-07,585.25,602.5,610.0,570.0,0.04K,-1.43%
2022-03-04,593.75,594.25,612.75,580.25,0.03K,0.38%
2022-03-03,591.5,600.0,600.0,563.0,0.04K,1.41%
2022-03-02,583.25,603.0,609.75,589.5,0.02K,-3.36%
2022-03-01,603.5,583.0,608.5,580.0,0.05K,5.97%
2022-02-28,569.5,553.25,578.5,553.25,0.04K,-11.60%
2022-02-25,644.25,655.5,669.5,635.25,0.07K,-1.79%
2022-02-24,656.0,678.25,718.75,654.0,0.30K,-3.35%
2022-02-23,678.75,695.0,702.75,665.0,0.24K,-0.22%
2022-02-22,680.25,699.75,700.0,649.5,0.53K,-1.34%
2022-02-18,689.5,716.25,717.75,685.25,0.49K,-3.57%
2022-02-17,715.0,721.5,730.0,712.5,0.47K,-0.59%
2022-02-16,719.25,716.75,731.75,710.0,0.43K,0.00%
2022-02-15,719.25,744.0,744.0,715.25,0.42K,-3.52%
2022-02-14,745.5,743.25,765.0,736.75,0.26K,-0.57%
2022-02-11,749.75,762.0,764.0,738.25,0.25K,-0.86%
2022-02-10,756.25,769.5,779.5,744.0,0.48K,-2.07%
2022-02-09,772.25,741.25,774.0,741.25,0.38K,3.55%
2022-02-08,745.75,739.25,747.0,733.75,0.35K,1.32%
2022-02-07,736.0,734.25,737.75,715.0,0.35K,0.68%
2022-02-04,731.0,728.0,735.5,725.25,0.26K,0.38%
2022-02-03,728.25,727.75,737.5,724.0,0.27K,0.45%
2022-02-02,725.0,719.0,730.0,709.5,0.39K,1.40%
2022-02-01,715.0,699.75,722.25,686.0,0.43K,2.80%
2022-01-31,695.5,675.0,715.5,675.0,0.87K,2.96%
2022-01-28,675.5,654.75,678.0,645.25,0.54K,3.13%
2022-01-27,655.0,658.5,664.0,647.0,0.21K,-0.34%
2022-01-26,657.25,650.5,659.75,635.5,0.18K,0.73%
2022-01-25,652.5,630.0,659.5,627.5,0.30K,3.37%
2022-01-24,631.25,621.75,639.5,621.5,0.22K,1.32%
2022-01-21,623.0,641.0,644.0,615.75,0.51K,-2.81%
2022-01-20,641.0,659.75,662.0,638.25,0.35K,-2.21%
2022-01-19,655.5,648.0,666.25,644.75,0.77K,1.35%
2022-01-18,646.75,610.0,648.0,606.0,0.66K,6.20%
2022-01-14,609.0,622.5,622.5,600.75,0.56K,-2.25%
2022-01-13,623.0,643.25,644.0,621.0,0.71K,-3.56%
2022-01-12,646.0,657.25,658.25,642.5,0.40K,-1.52%
2022-01-11,656.0,661.0,663.75,655.25,0.23K,-1.20%
2022-01-10,664.0,668.5,677.25,658.0,0.29K,-0.64%
2022-01-07,668.25,666.75,671.75,660.0,0.32K,-0.34%
2022-01-06,670.5,685.25,685.25,663.5,0.53K,-2.12%
2022-01-05,685.0,694.0,694.0,680.25,0.12K,-1.01%
2022-01-04,692.0,683.75,694.25,677.75,0.24K,1.65%
2022-01-03,680.75,689.25,691.0,675.25,0.28K,-0.33%
2021-12-31,683.0,690.75,692.0,677.75,0.10K,-0.51%
2021-12-30,686.5,694.25,696.25,674.0,0.31K,-1.26%
2021-12-29,695.25,701.0,704.0,693.0,0.20K,-1.03%
2021-12-28,702.5,721.0,724.75,702.0,0.22K,-2.97%
2021-12-27,724.0,709.5,725.0,708.75,0.43K,4.25%
2021-12-24,694.5,694.6,694.6,694.5,-,10.68%
2021-12-23,627.5,615.0,621.75,615.0,0.03K,-9.52%
2021-12-22,693.5,668.0,695.0,667.0,0.61K,4.01%
2021-12-21,666.75,661.5,676.0,650.0,0.63K,0.68%
2021-12-20,662.25,699.5,704.75,662.25,0.86K,-5.70%
2021-12-17,702.25,711.0,713.0,697.75,0.30K,-1.33%
2021-12-16,711.75,712.0,714.5,706.0,0.22K,0.11%
2021-12-15,711.0,715.0,717.75,710.0,0.22K,-0.04%
2021-12-14,711.25,706.75,719.75,701.25,0.00K,0.00%
2021-12-13,711.25,720.0,721.5,720.0,0.00K,-0.94%
2021-12-10,718.0,696.25,700.0,689.25,0.06K,3.12%
2021-12-09,696.25,711.0,711.0,688.0,0.03K,-1.73%
2021-12-08,708.5,717.0,717.0,705.0,0.04K,-1.08%
2021-12-07,716.25,716.75,718.75,709.5,0.01K,0.32%
2021-12-06,714.0,702.0,715.0,700.0,0.03K,1.42%
2021-12-03,704.0,715.0,725.0,707.25,0.01K,-4.96%
2021-12-02,740.75,708.0,708.0,698.0,0.02K,4.33%
2021-12-01,710.0,723.0,723.0,705.25,0.03K,-1.80%
2021-11-30,723.0,745.0,753.25,715.0,0.06K,-3.18%
2021-11-29,746.75,760.0,770.0,744.0,0.37K,-1.09%
2021-11-26,755.0,748.5,757.75,735.25,0.61K,0.60%
2021-11-24,750.5,753.75,769.0,747.0,0.29K,0.43%
2021-11-23,747.25,750.0,751.5,727.0,-,-0.50%
2021-11-22,751.0,765.5,769.0,751.0,0.54K,-1.77%
2021-11-19,764.5,760.5,766.0,753.0,0.28K,1.06%
2021-11-18,756.5,742.75,767.0,740.0,0.56K,2.30%
2021-11-17,739.5,731.75,745.0,729.0,0.43K,1.23%
2021-11-16,730.5,728.75,738.0,717.0,0.36K,1.00%
2021-11-15,723.25,733.5,737.25,710.0,0.29K,-1.46%
2021-11-12,734.0,723.25,737.0,712.25,0.33K,1.24%
2021-11-11,725.0,738.25,753.25,724.0,0.52K,-2.03%
2021-11-10,740.0,717.25,747.0,709.0,0.44K,3.32%
2021-11-09,716.25,716.75,724.75,702.25,0.54K,-1.00%
2021-11-08,723.5,747.0,755.25,710.25,0.73K,-3.40%
2021-11-05,749.0,742.75,761.0,736.75,0.55K,1.08%
2021-11-04,741.0,747.25,775.0,737.25,0.61K,-0.74%
2021-11-03,746.5,768.0,768.0,730.0,0.60K,-1.81%
2021-11-02,760.25,751.25,779.5,724.0,1.30K,1.27%
2021-11-01,750.75,731.0,763.75,723.25,0.55K,2.88%
2021-10-29,729.75,714.0,733.75,706.25,0.49K,2.71%
2021-10-28,710.5,715.25,717.25,705.75,0.35K,-0.07%
