Date,Price,Open,High,Low,Vol.,Change %
2022-06-21,"1,684.12","1,690.00","1,701.62","1,676.00",-,-0.72%
2022-06-20,"1,696.38","1,696.88","1,696.88","1,696.38",-,-0.03%
2022-06-19,"1,696.88","1,696.88","1,696.88","1,696.88",-,-0.30%
2022-06-17,"1,702.00","1,712.50","1,724.50","1,700.50",84.65K,-0.44%
2022-06-16,"1,709.50","1,696.75","1,715.50","1,690.50",-,0.93%
2022-06-15,"1,693.75","1,698.00","1,705.00","1,682.25",-,-0.28%
2022-06-14,"1,698.50","1,707.50","1,728.25","1,697.00",-,-0.53%
2022-06-13,"1,707.50","1,751.50","1,757.00","1,702.00",-,-2.18%
2022-06-10,"1,745.50","1,770.50","1,775.50","1,742.75",-,-1.33%
2022-06-09,"1,769.00","1,741.00","1,784.00","1,728.50",-,1.67%
2022-06-08,"1,740.00","1,729.25","1,758.00","1,726.50",138.39K,0.68%
2022-06-07,"1,728.25","1,699.25","1,732.75","1,692.25",-,1.71%
2022-06-06,"1,699.25","1,709.00","1,717.75","1,690.00",82.28K,0.09%
2022-06-03,"1,697.75","1,728.75","1,730.50","1,694.00",-,-1.82%
2022-06-02,"1,729.25","1,690.25","1,740.75","1,681.25",-,2.31%
2022-06-01,"1,690.25","1,687.25","1,706.50","1,675.25",-,0.42%
2022-05-31,"1,683.25","1,737.75","1,749.25","1,673.75",147.01K,-3.12%
2022-05-30,"1,737.50","1,737.50","1,737.50","1,737.50",-,0.30%
2022-05-27,"1,732.25","1,725.75","1,744.25","1,718.75",93.35K,0.33%
2022-05-26,"1,726.50","1,675.25","1,737.00","1,667.25",144.07K,2.71%
2022-05-25,"1,681.00","1,694.25","1,697.75","1,665.50",-,-0.71%
2022-05-24,"1,693.00","1,687.75","1,696.75","1,673.50",-,0.36%
2022-05-23,"1,687.00","1,706.00","1,720.00","1,685.00",-,-1.07%
2022-05-20,"1,705.25","1,691.00","1,710.75","1,683.25",-,0.87%
2022-05-19,"1,690.50","1,663.75","1,697.00","1,660.75",102.89K,1.67%
2022-05-18,"1,662.75","1,678.00","1,686.75","1,657.00",-,-0.91%
2022-05-17,"1,678.00","1,655.00","1,684.25","1,645.25",-,1.30%
2022-05-16,"1,656.50","1,657.50","1,668.00","1,650.25",-,0.61%
2022-05-13,"1,646.50","1,614.75","1,651.50","1,614.00",-,2.03%
2022-05-12,"1,613.75","1,607.50","1,627.25","1,590.25",-,0.44%
2022-05-11,"1,606.75","1,593.50","1,615.00","1,587.50",-,0.91%
2022-05-10,"1,592.25","1,589.00","1,605.00","1,580.50",-,0.44%
2022-05-09,"1,585.25","1,623.75","1,626.00","1,578.00",96.28K,-2.27%
2022-05-06,"1,622.00","1,649.50","1,650.00","1,618.00",74.87K,-1.52%
2022-05-05,"1,647.00","1,643.00","1,667.00","1,640.00",81.21K,0.05%
2022-05-04,"1,646.12","1,633.50","1,646.12","1,622.00",-,0.96%
2022-05-03,"1,630.50","1,649.50","1,662.75","1,629.00",-,-0.90%
2022-05-02,"1,645.25","1,684.50","1,688.75","1,635.00",98.83K,-2.38%
2022-04-29,"1,685.38","1,686.25","1,704.38","1,679.25",-,0.04%
2022-04-28,"1,684.75","1,694.25","1,700.00","1,681.25",-,-0.47%
2022-04-27,"1,692.75","1,673.25","1,698.00","1,665.50",119.53K,1.22%
2022-04-26,"1,672.38","1,675.62","1,696.38","1,662.25",-,-0.17%
2022-04-25,"1,675.25","1,687.00","1,695.50","1,656.50",-,-2.37%
2022-04-22,"1,716.00","1,747.50","1,757.50","1,704.25",-,-1.84%
2022-04-21,"1,748.25","1,747.50","1,752.75","1,728.25",-,0.09%
2022-04-20,"1,746.75","1,718.00","1,750.00","1,714.50",-,1.76%
2022-04-19,"1,716.50","1,712.00","1,730.00","1,705.25",-,0.10%
2022-04-18,"1,714.75","1,688.75","1,720.50","1,688.50",-,2.01%
2022-04-15,"1,681.00","1,681.00","1,681.00","1,681.00",-,-0.07%
2022-04-14,"1,682.25","1,678.50","1,692.50","1,670.00",78.74K,0.37%
2022-04-13,"1,676.00","1,672.25","1,681.25","1,652.00",-,0.34%
2022-04-12,"1,670.25","1,658.75","1,682.75","1,657.00",-,0.91%
2022-04-11,"1,655.25","1,691.00","1,697.50","1,651.50",-,-2.00%
2022-04-08,"1,689.00","1,647.75","1,689.75","1,645.50",-,2.64%
2022-04-07,"1,645.50","1,620.00","1,652.75","1,614.75",-,1.65%
2022-04-06,"1,618.75","1,622.50","1,642.88","1,615.00",-,-0.75%
2022-04-05,"1,631.00","1,605.00","1,635.25","1,604.25",-,1.79%
2022-04-04,"1,602.25","1,584.00","1,606.00","1,576.75",-,1.23%
2022-04-01,"1,582.75","1,620.75","1,628.50","1,580.75",-,-2.19%
2022-03-31,"1,618.25","1,666.75","1,680.00","1,613.50",-,-2.75%
2022-03-30,"1,664.00","1,644.00","1,683.75","1,638.75",-,1.28%
2022-03-29,"1,643.00","1,662.50","1,673.00","1,622.00",-,-1.28%
2022-03-28,"1,664.25","1,703.00","1,710.00","1,661.00",-,-2.69%
2022-03-25,"1,710.25","1,702.00","1,714.25","1,684.75",-,0.56%
2022-03-24,"1,700.75","1,722.25","1,730.00","1,697.50",-,-1.05%
2022-03-23,"1,718.75","1,695.50","1,736.50","1,691.00",-,1.31%
2022-03-22,"1,696.50","1,692.75","1,720.75","1,686.00",-,0.33%
2022-03-21,"1,691.00","1,673.00","1,710.00","1,666.75",-,1.38%
2022-03-18,"1,668.00","1,669.75","1,689.00","1,651.50",-,-0.03%
2022-03-17,"1,668.50","1,649.25","1,677.50","1,647.25",-,1.17%
2022-03-16,"1,649.25","1,661.00","1,681.25","1,645.25",-,-0.57%
2022-03-15,"1,658.75","1,674.00","1,674.00","1,638.00",-,-1.69%
2022-03-14,"1,687.25","1,708.00","1,710.00","1,705.00",-,-0.21%
2022-03-11,"1,690.75","1,706.50","1,707.25","1,680.75",-,-0.54%
2022-03-10,"1,700.00","1,687.75","1,716.25","1,681.25",-,0.80%
2022-03-09,"1,686.50","1,727.75","1,745.25","1,684.50",-,-1.06%
2022-03-08,"1,704.50","1,674.50","1,708.00","1,674.25",-,1.81%
2022-03-07,"1,674.25","1,696.50","1,706.25","1,675.00",-,-0.12%
2022-03-04,"1,676.25","1,684.00","1,700.25","1,659.25",-,-0.24%
2022-03-03,"1,680.25","1,690.25","1,707.50","1,683.50",-,0.16%
