Date,Price,Open,High,Low,Vol.,Change %
16/06/2022,1066.40,"1,050.25","1,066.80","1,047.10",-,1.56%
15/06/2022,1050.00,"1,055.00","1,058.75","1,036.50",-,-0.02%
14/06/2022,1050.25,"1,071.00","1,072.75","1,046.50",-,-1.94%
13/06/2022,1071.00,"1,073.00","1,093.50","1,053.50",-,0.02%
10/06/2022,1070.75,"1,074.50","1,081.25","1,053.00",-,-0.05%
09/06/2022,1071.25,"1,076.25","1,082.00","1,044.25",-,-0.33%
08/06/2022,1074.75,"1,073.00","1,089.00","1,061.75",68.01K,0.28%
07/06/2022,1071.75,"1,093.00","1,101.00","1,058.50",-,-1.94%
06/06/2022,1093.00,"1,060.00","1,108.75","1,060.00",60.71K,5.10%
03/06/2022,1040.00,"1,061.50","1,069.25","1,036.25",-,-1.72%
02/06/2022,1058.25,"1,043.25","1,075.00","1,037.25",-,1.63%
01/06/2022,1041.25,"1,091.00","1,098.00","1,027.25",-,-4.25%
31/05/2022,1087.50,"1,157.00","1,157.25","1,087.50",68.16K,-5.88%
30/05/2022,1155.38,"1,157.50","1,157.50","1,155.38",-,-0.18%
27/05/2022,1157.50,"1,143.25","1,170.25","1,133.50",25.54K,1.25%
26/05/2022,1143.25,"1,133.00","1,160.25","1,115.00",38.51K,-0.44%
25/05/2022,1148.25,"1,154.50","1,158.50","1,114.50",-,-0.56%
24/05/2022,1154.75,"1,196.00","1,208.75","1,138.00",-,-2.96%
23/05/2022,1190.00,"1,181.75","1,196.75","1,174.75",-,1.82%
20/05/2022,1168.75,"1,208.00","1,208.00","1,168.00",-,-2.64%
19/05/2022,1200.50,"1,222.00","1,247.75","1,193.50",54.78K,-2.46%
18/05/2022,1230.75,"1,278.50","1,280.00","1,211.50",-,-3.66%
17/05/2022,1277.50,"1,268.00","1,284.00","1,200.75",-,2.40%
16/05/2022,1247.50,"1,234.25","1,247.50","1,222.25",-,6.88%
13/05/2022,1167.25,"1,172.75","1,198.50","1,158.50",0.00K,-0.62%
12/05/2022,1174.50,"1,107.75","1,128.75","1,103.25",0.16K,5.93%
11/05/2022,1108.75,"1,109.25","1,115.00","1,100.00",0.05K,2.35%
10/05/2022,1083.25,"1,096.75","1,098.50","1,092.00",0.04K,-0.87%
09/05/2022,1092.75,"1,120.75","1,135.00","1,090.00",37.35K,-1.42%
06/05/2022,1108.50,"1,102.00","1,127.50","1,087.75",39.58K,0.18%
05/05/2022,1106.50,"1,079.00","1,121.75","1,077.25",47.81K,2.79%
04/05/2022,1076.50,"1,047.00","1,089.00","1,042.25",44.20K,2.82%
03/05/2022,1047.00,"1,053.62","1,068.80","1,044.25",-,-0.70%
02/05/2022,1054.38,"1,045.25","1,071.38","1,034.25",-,-0.13%
29/04/2022,1055.75,"1,085.00","1,102.50","1,054.25",-,-2.76%
28/04/2022,1085.75,"1,088.00","1,106.50","1,081.00",-,-0.50%
27/04/2022,1091.25,"1,092.50","1,097.50","1,078.25",-,-0.34%
26/04/2022,1095.00,"1,081.00","1,107.00","1,077.00",-,1.19%
25/04/2022,1082.12,"1,087.50","1,089.30","1,056.12",-,-0.04%
24/04/2022,1082.50,"1,073.25","1,084.25","1,073.25",-,1.60%
22/04/2022,1065.50,"1,070.00","1,076.00","1,052.50",-,-0.23%
21/04/2022,1068.00,"1,094.25","1,094.25","1,052.50",-,-1.84%
20/04/2022,1088.00,"1,094.75","1,109.75","1,066.75",-,-1.00%
19/04/2022,1099.00,"1,123.25","1,135.00","1,096.00",-,-1.92%
18/04/2022,1120.50,"1,099.25","1,134.75","1,098.25",-,2.26%
15/04/2022,1095.75,"1,095.75","1,095.75","1,095.75",-,-0.07%
14/04/2022,1096.50,"1,113.00","1,127.50","1,094.25",20.65K,-1.53%
13/04/2022,1113.50,"1,102.50","1,124.25","1,078.00",-,0.88%
12/04/2022,1103.75,"1,077.75","1,117.50","1,075.00",-,2.08%
11/04/2022,1081.25,"1,056.00","1,091.75","1,055.00",-,2.83%
08/04/2022,1051.50,"1,020.00","1,054.25","1,017.00",-,3.09%
07/04/2022,1020.00,"1,040.25","1,044.50","1,017.75",-,-2.03%
06/04/2022,1041.12,"1,049.40","1,056.40","1,024.25",-,-0.40%
05/04/2022,1045.25,"1,020.50","1,074.00","1,020.00",-,3.46%
04/04/2022,1010.25,989.5,"1,014.50",984.75,-,2.62%
01/04/2022,984.50,"1,007.25","1,032.75",982.5,-,-2.14%
31/03/2022,1006.00,"1,030.25","1,075.00","1,003.50",-,-2.07%
30/03/2022,1027.25,"1,015.00","1,041.75","1,002.25",-,1.28%
29/03/2022,1014.25,"1,047.00","1,068.25",972,-,-4.04%
28/03/2022,1057.00,"1,092.75","1,096.00","1,047.00",-,-4.11%
25/03/2022,1102.25,"1,089.50","1,109.00","1,064.75",-,1.52%
24/03/2022,1085.75,"1,105.75","1,115.00","1,080.50",-,-1.81%
