Date,Price,Open,High,Low,Change %
2022-06-21,0.9464,0.9509,0.9512,0.9449,-0.50%
2022-06-20,0.9512,0.9549,0.9549,0.9481,-0.11%
2022-06-17,0.9522,0.948,0.9574,0.947,0.47%
2022-06-16,0.9477,0.9574,0.9633,0.9432,-1.00%
2022-06-15,0.9573,0.96,0.9654,0.9516,-0.26%
2022-06-14,0.9598,0.9606,0.9618,0.9537,-0.09%
2022-06-13,0.9607,0.9512,0.9615,0.9506,1.05%
2022-06-10,0.9507,0.9419,0.9518,0.9395,0.94%
2022-06-09,0.9418,0.9331,0.9424,0.9281,0.94%
2022-06-08,0.933,0.9346,0.9371,0.9303,-0.14%
2022-06-07,0.9343,0.935,0.9388,0.9333,-0.06%
2022-06-06,0.9349,0.9327,0.936,0.93,0.24%
2022-06-03,0.9327,0.9306,0.9342,0.929,0.27%
2022-06-02,0.9302,0.9391,0.9395,0.9301,-0.92%
2022-06-01,0.9388,0.9316,0.941,0.9312,0.79%
2022-05-31,0.9314,0.9277,0.9365,0.9276,0.41%
2022-05-30,0.9276,0.9314,0.9323,0.927,-0.46%
2022-05-27,0.9319,0.9323,0.9349,0.9289,-0.02%
2022-05-26,0.9321,0.936,0.9379,0.9317,-0.42%
2022-05-25,0.936,0.9313,0.9397,0.9312,0.49%
2022-05-24,0.9314,0.9354,0.938,0.9302,-0.41%
2022-05-23,0.9352,0.9459,0.9471,0.9347,-1.20%
2022-05-20,0.9466,0.9445,0.9495,0.9434,0.25%
2022-05-19,0.9442,0.9551,0.956,0.9427,-1.14%
2022-05-18,0.9551,0.948,0.956,0.9466,0.77%
2022-05-17,0.9478,0.9584,0.9589,0.9473,-1.10%
2022-05-16,0.9583,0.9611,0.9626,0.9575,-0.20%
2022-05-13,0.9602,0.9635,0.9663,0.9596,-0.32%
2022-05-12,0.9633,0.9513,0.9658,0.9497,1.29%
2022-05-11,0.951,0.9498,0.9523,0.9454,0.15%
2022-05-10,0.9496,0.9472,0.9501,0.9446,0.26%
2022-05-09,0.9471,0.9477,0.9528,0.9439,-0.03%
2022-05-06,0.9474,0.9484,0.954,0.9434,-0.11%
2022-05-05,0.9484,0.9414,0.9531,0.9396,0.76%
2022-05-04,0.9412,0.951,0.9518,0.9406,-0.94%
2022-05-03,0.9501,0.9516,0.9529,0.9454,-0.18%
2022-05-02,0.9518,0.9478,0.9533,0.9462,0.37%
2022-04-29,0.9483,0.9528,0.9532,0.944,-0.41%
2022-04-28,0.9522,0.9473,0.955,0.9464,0.54%
2022-04-27,0.9471,0.9401,0.9512,0.9385,0.77%
2022-04-26,0.9399,0.9334,0.9402,0.9312,0.71%
2022-04-25,0.9333,0.9224,0.9349,0.9223,0.76%
2022-04-22,0.9263,0.9227,0.9285,0.9215,0.41%
