Date,Price,Open,High,Low,Change %
2022-06-30,20.2271,20.1352,20.2373,20.1287,0.58%
2022-06-29,20.111,20.136,20.2104,20.0714,-0.05%
2022-06-28,20.122,19.9235,20.175,19.871,1.06%
2022-06-27,19.91,19.8775,19.965,19.8192,0.22%
2022-06-24,19.8655,20.015,20.0889,19.8263,-0.68%
2022-06-23,20.001,20.0496,20.1442,19.9765,-0.22%
2022-06-22,20.0442,20.1235,20.2491,19.9979,-0.35%
2022-06-21,20.115,20.288,20.29,20.115,-0.79%
2022-06-20,20.276,20.346,20.3792,20.2227,-0.26%
2022-06-17,20.329,20.4095,20.5826,20.2981,-0.35%
2022-06-16,20.4,20.2578,20.7045,20.2176,0.77%
2022-06-15,20.245,20.5945,20.6985,20.2115,-1.62%
2022-06-14,20.579,20.4576,20.6916,20.3524,0.61%
2022-06-13,20.4538,19.987,20.5208,19.965,2.49%
2022-06-10,19.956,19.674,20.002,19.6187,1.52%
2022-06-09,19.657,19.576,19.6965,19.5318,0.50%
2022-06-08,19.56,19.5865,19.6877,19.555,-0.10%
2022-06-07,19.58,19.5731,19.645,19.5096,0.10%
2022-06-06,19.56,19.574,19.635,19.47,0.02%
2022-06-03,19.5565,19.532,19.614,19.5,0.19%
2022-06-02,19.52,19.696,19.729,19.518,-0.83%
2022-06-01,19.684,19.6574,19.774,19.603,0.16%
2022-05-31,19.6525,19.5556,19.74,19.5344,0.55%
2022-05-30,19.545,19.5895,19.606,19.4125,-0.10%
2022-05-27,19.565,19.767,19.7926,19.5495,-1.00%
2022-05-26,19.7622,19.8325,19.868,19.7595,-0.28%
2022-05-25,19.818,19.843,19.9295,19.788,-0.07%
2022-05-24,19.831,19.8675,19.9443,19.7904,-0.11%
2022-05-23,19.853,19.862,19.9105,19.772,0.01%
2022-05-20,19.851,19.936,19.9638,19.8275,-0.36%
2022-05-19,19.922,20.0465,20.0755,19.8659,-0.53%
2022-05-18,20.029,19.94,20.0823,19.8703,0.50%
2022-05-17,19.93,20.0283,20.0427,19.9261,-0.45%
2022-05-16,20.02,20.1025,20.1861,20.0187,-0.34%
2022-05-13,20.088,20.2479,20.257,20.0779,-0.76%
2022-05-12,20.2424,20.3175,20.4771,20.2314,-0.31%
2022-05-11,20.305,20.392,20.4684,20.227,-0.39%
2022-05-10,20.384,20.3945,20.4404,20.272,0.02%
2022-05-09,20.38,20.1775,20.4095,20.1603,1.22%
2022-05-06,20.135,20.2385,20.2998,20.07,-0.43%
2022-05-05,20.222,20.0285,20.319,20.0049,1.04%
2022-05-04,20.014,20.2915,20.3102,19.997,-1.33%
2022-05-03,20.2839,20.4604,20.488,20.2628,-0.87%
2022-05-02,20.462,20.403,20.5131,20.3393,0.25%
2022-04-29,20.411,20.448,20.4737,20.2855,-0.22%
2022-04-28,20.4565,20.3888,20.645,20.3468,0.40%
2022-04-27,20.3759,20.4365,20.5386,20.3218,-0.07%
2022-04-26,20.3905,20.2307,20.455,20.1917,0.92%
2022-04-25,20.204,20.2385,20.4876,20.1615,-0.07%
2022-04-22,20.218,20.1735,20.379,20.1615,0.29%
2022-04-21,20.16,19.9915,20.241,19.9779,0.89%
2022-04-20,19.983,20.0235,20.076,19.9442,-0.11%
2022-04-19,20.006,19.8275,20.088,19.7615,0.96%
2022-04-18,19.815,19.962,20.0102,19.8144,-0.63%
2022-04-15,19.9405,19.9682,19.9897,19.9277,-0.11%
2022-04-14,19.9629,19.789,20.0286,19.7307,0.96%
2022-04-13,19.773,19.803,19.8365,19.7406,-0.07%
2022-04-12,19.787,19.9407,19.9566,19.774,-0.71%
2022-04-11,19.929,20.0575,20.1257,19.8937,-0.45%
2022-04-08,20.02,20.1385,20.1905,20.018,-0.50%
2022-04-07,20.121,20.1725,20.1945,20.071,-0.19%
2022-04-06,20.16,20.0015,20.1971,19.9715,0.84%
2022-04-05,19.993,19.8055,20.0155,19.762,1.04%
2022-04-04,19.788,19.8815,19.8875,19.7255,-0.24%
2022-04-01,19.835,19.8695,19.935,19.747,-0.05%
2022-03-31,19.845,19.8745,19.9725,19.8186,-0.06%
2022-03-30,19.856,19.979,19.9915,19.814,-0.54%
2022-03-29,19.964,20.1205,20.143,19.9121,-0.73%
2022-03-28,20.11,20.035,20.1905,20.0129,0.45%
2022-03-25,20.02,20.0915,20.1008,19.9085,-0.27%
2022-03-24,20.075,20.2199,20.2451,20.0705,-0.72%
2022-03-23,20.2208,20.2845,20.2987,20.155,-0.24%
2022-03-22,20.27,20.3735,20.4223,20.2495,-0.48%
2022-03-21,20.3682,20.386,20.4156,20.2672,0.14%
2022-03-18,20.34,20.5215,20.5555,20.352,-0.85%
2022-03-17,20.515,20.639,20.6741,20.4984,-0.57%
2022-03-16,20.632,20.8345,20.853,20.5968,-0.90%
2022-03-15,20.82,20.92,20.9394,20.8186,-0.38%
2022-03-14,20.9,20.9325,20.9823,20.831,0.01%
2022-03-11,20.897,20.939,21.0541,20.844,-0.13%
2022-03-10,20.925,20.911,21.0686,20.8832,0.16%
2022-03-09,20.892,21.3765,21.385,20.856,-2.23%
2022-03-08,21.369,21.315,21.4687,21.2045,0.32%
2022-03-07,21.3,20.945,21.3725,20.9263,1.74%
2022-03-04,20.935,20.6374,20.975,20.6357,1.46%
2022-03-03,20.6336,20.6175,20.757,20.6077,0.20%
2022-03-02,20.593,20.657,20.8005,20.5777,-0.20%
2022-03-01,20.635,20.47,20.681,20.3909,0.85%
2022-02-28,20.461,20.355,20.6254,20.3171,0.62%
2022-02-25,20.335,20.5545,20.5842,20.3215,-1.00%
2022-02-24,20.541,20.239,20.79,20.2344,1.56%
2022-02-23,20.226,20.305,20.3111,20.1565,-0.31%
2022-02-22,20.289,20.3095,20.3772,20.2682,-0.03%
2022-02-21,20.295,20.31,20.3325,20.2489,0.07%
