Date,Price,Open,High,Low,Change %
2022-06-21,54.253,54.06,54.408,54.04,0.28%
2022-06-20,54.099,53.75,54.129,53.75,0.65%
2022-06-17,53.75,53.48,53.81,53.415,0.52%
2022-06-16,53.47,53.32,53.641,53.295,0.19%
2022-06-15,53.37,53.25,53.47,53.21,0.19%
2022-06-14,53.27,53.25,53.38,53.12,-0.04%
2022-06-13,53.29,53.09,53.4,53.075,0.45%
2022-06-10,53.05,52.97,53.1,52.9,0.17%
2022-06-09,52.96,53.0,53.0,52.9,-0.06%
2022-06-08,52.99,52.84,53.0,52.81,0.30%
2022-06-07,52.83,52.94,52.99,52.8,-0.19%
2022-06-06,52.93,52.86,52.975,52.8,0.06%
2022-06-03,52.9,52.76,52.97,52.705,0.23%
2022-06-02,52.78,52.48,52.853,52.41,0.59%
2022-06-01,52.47,52.45,52.52,52.365,0.06%
2022-05-31,52.44,52.3,52.616,52.3,0.29%
2022-05-30,52.29,52.2,52.37,52.15,0.11%
2022-05-27,52.23,52.35,52.365,52.152,-0.21%
2022-05-26,52.34,52.42,52.49,52.231,-0.13%
2022-05-25,52.41,52.33,52.42,52.29,0.17%
2022-05-24,52.32,52.26,52.468,52.22,0.13%
2022-05-23,52.25,52.23,52.37,52.145,0.10%
2022-05-20,52.2,52.26,52.38,52.115,-0.10%
2022-05-19,52.25,52.48,52.51,52.139,-0.38%
2022-05-18,52.45,52.39,52.54,52.324,0.13%
2022-05-17,52.38,52.42,52.498,52.26,-0.06%
2022-05-16,52.41,52.41,52.56,52.345,0.08%
2022-05-13,52.37,52.39,52.49,52.301,-0.02%
2022-05-12,52.38,52.18,52.56,52.18,0.40%
2022-05-11,52.17,52.3,52.365,51.995,-0.23%
2022-05-10,52.29,52.46,52.46,52.239,-0.57%
2022-05-09,52.589,52.498,52.724,52.498,0.34%
2022-05-06,52.41,52.42,52.51,52.389,0.00%
2022-05-05,52.41,52.37,52.613,52.23,0.04%
2022-05-04,52.39,52.46,52.582,52.393,-0.25%
2022-05-03,52.52,52.559,52.647,52.487,-0.05%
2022-05-02,52.545,52.245,52.57,52.22,0.45%
2022-04-29,52.31,52.38,52.47,52.145,-0.11%
2022-04-28,52.37,52.16,52.425,51.96,0.42%
2022-04-27,52.15,52.31,52.38,52.08,-0.29%
2022-04-26,52.3,52.36,52.405,52.12,-0.15%
2022-04-25,52.38,52.38,52.49,52.315,0.10%
2022-04-22,52.33,52.44,52.485,52.22,-0.19%
2022-04-21,52.43,52.36,52.463,52.33,0.15%
2022-04-20,52.35,52.47,52.54,52.289,-0.21%
2022-04-19,52.46,52.31,52.544,52.28,0.31%
2022-04-18,52.3,52.23,52.31,52.135,0.29%
2022-04-15,52.15,52.19,52.209,52.121,-0.06%
2022-04-14,52.18,52.08,52.238,52.08,0.21%
2022-04-13,52.07,52.03,52.271,51.875,0.10%
2022-04-12,52.02,52.11,52.275,51.977,-0.15%
2022-04-11,52.1,51.56,52.137,51.56,0.99%
2022-04-08,51.59,51.41,51.64,51.408,0.39%
2022-04-07,51.39,51.28,51.44,51.27,0.23%
2022-04-06,51.27,51.29,51.443,51.225,-0.02%
2022-04-05,51.28,51.35,51.38,51.14,-0.12%
2022-04-04,51.34,51.61,51.65,51.31,-0.35%
2022-04-01,51.52,51.72,51.825,51.515,-0.37%
2022-03-31,51.71,51.98,52.018,51.7,-0.50%
2022-03-30,51.97,51.98,52.098,51.915,0.00%
2022-03-29,51.97,52.08,52.138,51.854,-0.19%
2022-03-28,52.07,52.15,52.305,52.012,-0.06%
2022-03-25,52.1,52.26,52.365,52.1,-0.29%
2022-03-24,52.25,52.36,52.435,52.23,-0.19%
2022-03-23,52.35,52.35,52.43,52.31,0.04%
2022-03-22,52.33,52.42,52.482,52.335,-0.15%
2022-03-21,52.41,52.36,52.46,52.318,0.23%
2022-03-18,52.29,52.15,52.435,52.15,0.29%
2022-03-17,52.14,52.15,52.27,52.11,0.02%
2022-03-16,52.13,52.32,52.37,52.15,-0.34%
2022-03-15,52.31,52.4,52.495,52.26,-0.15%
2022-03-14,52.39,52.31,52.495,52.295,0.15%
2022-03-11,52.31,52.23,52.39,52.183,0.17%
2022-03-10,52.22,51.99,52.3,51.99,0.46%
2022-03-09,51.98,52.31,52.35,51.88,-0.61%
2022-03-08,52.3,52.29,52.355,52.01,0.04%
2022-03-07,52.28,51.91,52.37,51.865,0.65%
2022-03-04,51.94,51.63,52.07,51.575,0.62%
2022-03-03,51.62,51.43,51.727,51.415,0.39%
2022-03-02,51.42,51.35,51.568,51.31,0.16%
2022-03-01,51.34,51.18,51.37,51.18,0.33%
2022-02-28,51.17,51.31,51.428,51.18,-0.27%
2022-02-25,51.308,51.3,51.39,51.26,0.04%
2022-02-24,51.29,51.13,51.52,51.1,0.35%
2022-02-23,51.11,51.33,51.38,51.03,-0.41%
2022-02-22,51.32,51.41,51.475,51.29,-0.16%
2022-02-21,51.4,51.46,51.465,51.34,-0.06%
2022-02-18,51.43,51.38,51.51,51.28,0.12%
2022-02-17,51.37,51.38,51.405,51.22,0.00%
2022-02-16,51.37,51.3,51.407,51.25,0.16%
2022-02-15,51.29,51.34,51.41,51.23,-0.08%
2022-02-14,51.33,51.23,51.415,51.21,0.16%
2022-02-11,51.25,51.3,51.38,51.19,-0.06%
2022-02-10,51.28,51.25,51.35,51.176,0.08%
2022-02-09,51.24,51.45,51.458,51.196,-0.37%
2022-02-08,51.43,51.45,51.525,51.37,-0.02%
2022-02-07,51.44,51.14,51.561,51.14,0.47%
2022-02-04,51.2,50.94,51.305,50.925,0.53%
2022-02-03,50.93,51.03,51.11,50.909,-0.18%
2022-02-02,51.02,51.01,51.185,50.97,0.18%
2022-02-01,50.93,51.08,51.085,50.945,-0.27%
2022-01-31,51.07,51.16,51.235,50.88,-0.10%
2022-01-28,51.12,51.26,51.37,51.11,-0.23%
2022-01-27,51.24,51.31,51.46,51.195,-0.12%
2022-01-26,51.3,51.16,51.34,51.115,0.29%
2022-01-25,51.15,51.29,51.405,51.14,-0.25%
2022-01-24,51.28,51.31,51.42,51.25,0.06%
2022-01-21,51.25,51.42,51.48,51.22,-0.31%
2022-01-20,51.41,51.48,51.508,51.303,-0.12%
2022-01-19,51.47,51.43,51.58,51.394,0.10%
2022-01-18,51.42,51.25,51.628,51.17,0.35%
2022-01-17,51.24,51.275,51.335,51.18,-0.14%
2022-01-14,51.31,51.09,51.455,50.967,0.45%
2022-01-13,51.08,50.99,51.23,50.98,0.20%
2022-01-12,50.98,50.99,51.275,50.94,0.00%
2022-01-11,50.98,51.16,51.28,50.95,-0.33%
