Date,Grain,Energy,Precious_metal
1990M02,61.74,27.12,32.5
1990M03,61.28,25.12,30.75
1990M04,62.76,23.24,29.5
1990M05,61.16,23.27,29.21
1990M06,59.49,22.21,27.98
1990M07,57.02,24.1,28.58
1990M08,55.36,34.12,30.78
1990M09,53.38,41.71,30.18
1990M10,54.44,44.11,29.17
1990M11,53.75,41.41,29.03
1990M12,53.59,36.11,28.63
1991M01,56.72,31.26,29.01
1991M02,58.54,26.32,27.41
1991M03,58.85,26.26,27.6
1991M04,57.54,26.11,27.31
1991M05,56.8,26.09,27.27
1991M06,56.24,24.73,28.18
1991M07,56.88,25.9,28.21
1991M08,58.4,26.36,27.06
1991M09,58.77,27.57,26.66
1991M10,59.38,29.43,27.39
1991M11,58.79,28.47,27.45
1991M12,60.01,25.58,27.4
1992M01,62.07,24.39,27.07
1992M02,63.82,24.2,27.11
1992M03,63.66,23.81,26.46
1992M04,60.82,25.43,26.02
1992M05,59.89,26.6,25.98
1992M06,59.76,27.89,26.22
1992M07,56.98,27.22,26.91
1992M08,54.31,26.99,26.1
1992M09,55.06,27.99,26.22
1992M10,54.16,28.09,26.13
1992M11,54.96,26.59,25.55
1992M12,55.16,25.37,25.5
1993M01,56.09,24.26,25.09
1993M02,55,24.93,25.08
1993M03,54.04,25.89,25.11
1993M04,52.66,25.98,26.19
1993M05,50.32,25.58,28.3
1993M06,47.59,24.41,28.51
1993M07,50.78,23.62,30.45
1993M08,51.23,23.76,29.41
1993M09,51.21,23.02,27.27
1993M10,56.04,23.32,27.96
1993M11,62.69,22.09,28.77
1993M12,66.08,20.53,29.8
1994M01,68.99,21.15,30.2
1994M02,66.59,21.1,29.99
1994M03,60.43,20.53,30.32
1994M04,58.92,21.58,29.8
1994M05,55.88,22.62,30.13
1994M06,55.16,23.29,30.37
1994M07,52.49,24.28,30.29
1994M08,54.71,23.07,29.88
1994M09,57.08,21.9,30.91
1994M10,58.14,22.5,30.74
1994M11,57.58,23.44,30.13
1994M12,59.22,22.45,29.42
1995M01,60.23,22.99,29.37
1995M02,60.2,23.58,29.2
1995M03,60.88,23.49,29.49
1995M04,60.39,25.33,30.9
1995M05,62.86,25.13,30.58
1995M06,68.16,24.12,30.55
1995M07,73.43,22.35,30.27
1995M08,72.03,22.72,30.31
1995M09,75.21,23.57,30.31
1995M10,80.22,23.02,30.23
1995M11,78.63,24.11,30.31
1995M12,80.27,26.11,30.31
1996M01,83.39,26.4,31.35
1996M02,86.55,28.36,31.88
1996M03,90.05,28.54,31.19
1996M04,94.24,28.93,30.87
1996M05,98.17,26.73,30.75
1996M06,93.4,26.16,30.12
1996M07,91.56,27.56,29.92
1996M08,85.81,28.01,30.24
1996M09,74.83,29.89,29.86
1996M10,69.91,32.33,29.62
1996M11,67.59,31.5,29.32
1996M12,67.77,33.86,28.73
1997M01,70.15,32.69,27.78
1997M02,69.91,28.44,27.52
1997M03,70.29,26.26,28
1997M04,69.15,24.59,27.12
1997M05,67.97,26.64,27.09
1997M06,63.56,24.85,26.99
1997M07,60.59,25.7,25.54
1997M08,61.56,26.47,25.67
1997M09,60.68,26.71,25.82
1997M10,62.38,28.42,26.23
1997M11,60.67,27.34,25.01
1997M12,60.19,24.2,24.57
1998M01,60.72,21.87,24.66
1998M02,61.23,21.01,26.08
1998M03,61.24,19.9,25.48
1998M04,59.62,20.39,26.38
1998M05,59.7,21.01,25.03
1998M06,58.77,18.55,24.24
1998M07,57.53,18.44,24.5
1998M08,53.06,17.69,23.66
1998M09,52.7,19.49,23.79
1998M10,55.48,18.4,24.2
1998M11,54.79,16.88,24.06
1998M12,54.28,15.2,23.83
1999M01,55.89,16.64,23.79
1999M02,52.97,15.61,24.19
1999M03,51.97,18.01,23.8
1999M04,49.95,21.45,23.43
1999M05,50.08,21.43,23.23
1999M06,50.72,22.18,22.05
1999M07,47.88,25.68,21.84
1999M08,48.25,27.65,21.96
1999M09,47.61,29.71,22.46
1999M10,46.15,29.6,25.68
1999M11,46.85,31.94,24.35
1999M12,46.82,33.09,23.72
2000M01,49.07,33.32,23.83
2000M02,49.7,36.15,25.03
2000M03,48.5,36.13,23.93
2000M04,47.85,31.3,23.54
2000M05,47.93,37.07,23.23
2000M06,45.29,40.51,23.98
2000M07,42.36,39.07,23.7
2000M08,42.12,40.63,23.2
2000M09,43.71,44.96,23.18
2000M10,46.52,43.27,22.87
2000M11,47.37,45.7,22.5
2000M12,49.31,42.48,22.84
2001M01,49.31,42.16,22.5
2001M02,48,40.68,22.14
2001M03,47.29,36.89,22.03
2001M04,46.08,38.21,21.86
2001M05,45.96,39.88,22.71
2001M06,45.28,38.45,22.45
2001M07,46.99,33.97,22.07
2001M08,46.95,35.01,22.19
2001M09,46.59,33.76,23.02
2001M10,45.87,28.61,22.99
2001M11,46.9,26.68,22.29
2001M12,47.5,26.25,22.57
2002M01,48.53,26.8,23.08
2002M02,48.26,27.75,23.88
2002M03,47.52,32.24,23.99
2002M04,47.11,34.72,24.62
2002M05,48.03,34.53,25.48
2002M06,50.54,32.79,26.14
2002M07,53.55,34.2,25.59
