Date,Price,Open,High,Low,Vol.,Change %
"Jun 17, 2022",631.3,630.2,638,630.2,-,-4.09%
"Jun 16, 2022",658.25,663,663,655.25,0.07K,-0.45%
"Jun 15, 2022",661.25,661.5,674.5,656.25,0.21K,-0.82%
"Jun 14, 2022",666.75,662.5,670.5,653,0.26K,1.06%
"Jun 13, 2022",659.75,650,661.75,631.5,0.27K,1.31%
"Jun 10, 2022",651.25,669.75,670,649,0.12K,-2.43%
"Jun 09, 2022",667.5,661.75,677,657.5,0.11K,0.91%
"Jun 08, 2022",661.5,668.25,668.25,650.5,0.24K,-0.97%
"Jun 07, 2022",668,680.75,694.75,665.25,0.23K,-1.80%
"Jun 06, 2022",680.25,690,690.75,671.25,0.12K,-1.48%
"Jun 03, 2022",690.5,655,692.5,654,0.22K,5.66%
"Jun 02, 2022",653.5,648.75,662.75,647.25,0.26K,1.08%
"Jun 01, 2022",646.5,670.25,670.25,645.25,0.31K,-3.47%
"May 31, 2022",669.75,704,708.25,663.75,0.56K,-0.26%
"May 30, 2022",671.5,670,671.5,670,-,6.04%
"May 27, 2022",633.25,622.5,635,618.25,0.05K,-7.59%
"May 26, 2022",685.25,674.5,687,673.75,0.15K,0.66%
"May 25, 2022",680.75,674.75,681.75,658.75,0.31K,0.96%
"May 24, 2022",674.25,632.5,674.75,632.5,0.57K,7.07%
"May 23, 2022",629.75,614.5,644.25,614.25,0.14K,2.77%
"May 20, 2022",612.75,625,625,607,0.13K,-2.39%
"May 19, 2022",627.75,644.75,644.75,617.5,0.15K,-2.18%
"May 18, 2022",641.75,655.75,655.75,630.75,0.13K,-1.84%
"May 17, 2022",653.75,639.5,658.5,628.25,0.30K,2.23%
"May 16, 2022",639.5,622.25,649.5,622.25,0.22K,9.13%
"May 13, 2022",586,596.25,596.25,587,0.00K,-0.68%
"May 12, 2022",590,566.5,590,563,0.02K,5.03%
"May 11, 2022",561.75,552,564,551.25,0.02K,2.00%
"May 10, 2022",550.75,561.5,561.5,544,0.01K,-1.48%
"May 09, 2022",559,570.25,570.5,546,0.05K,-2.06%
"May 06, 2022",570.75,589.75,591,575,0.01K,-2.60%
"May 05, 2022",586,596.5,596.5,585,0.01K,-1.55%
"May 04, 2022",595.25,600,600,595.75,0.02K,-15.27%
"May 03, 2022",702.5,690,690,690,0.01K,2.70%
"May 02, 2022",684,680.5,680.5,680.5,0.01K,1.26%
"Apr 29, 2022",675.5,705,710,689.5,0.04K,-2.53%
"Apr 28, 2022",693,676,725,675,0.06K,3.24%
"Apr 27, 2022",671.25,696.25,696.5,665,0.08K,-3.28%
"Apr 26, 2022",694,721.5,721.5,680,0.13K,-2.97%
"Apr 25, 2022",715.25,721.25,745.75,713.5,0.18K,-0.83%
"Apr 22, 2022",721.25,710.25,726.25,708.25,0.18K,1.37%
"Apr 21, 2022",711.5,728.5,731,705,0.18K,-1.66%
"Apr 20, 2022",723.5,741,741,724,0.24K,-3.08%
"Apr 19, 2022",746.5,763.25,764,743,0.19K,-1.94%
"Apr 18, 2022",761.25,745,767,735,0.25K,0.56%
"Apr 14, 2022",757,795,799.75,756.75,0.34K,-4.99%
"Apr 13, 2022",796.75,801.25,806.75,791.25,0.26K,-1.27%
"Apr 12, 2022",807,803,811,799.75,0.16K,0.50%
"Apr 11, 2022",803,786.25,807.75,786.25,0.17K,1.07%
"Apr 08, 2022",794.5,772.75,797.25,766,0.26K,3.55%
"Apr 07, 2022",767.25,753.75,772.25,750,0.19K,1.96%
"Apr 06, 2022",752.5,742,755.5,737,0.16K,0.97%
"Apr 05, 2022",745.25,730,747,730,0.17K,2.02%
"Apr 04, 2022",730.5,734.75,741,729.25,0.19K,-1.28%
"Apr 01, 2022",740,729.5,740.75,720.75,0.26K,1.72%
"Mar 31, 2022",727.5,728.5,733.25,713.25,0.23K,-0.34%
"Mar 30, 2022",730,713,741,712,0.21K,1.53%
"Mar 29, 2022",719,756,760,716,0.21K,-4.89%
"Mar 28, 2022",756,732.75,759.5,727.75,0.23K,2.44%
"Mar 25, 2022",738,710.75,741.75,702.5,0.21K,4.94%
"Mar 24, 2022",703.25,719.5,720.25,693.5,0.20K,-2.60%
"Mar 23, 2022",722,722,736,719.5,0.14K,-0.28%
"Mar 22, 2022",724,722.25,729,716.5,0.19K,-0.41%
"Mar 21, 2022",727,693.5,729.25,693.5,0.40K,4.60%
"Mar 18, 2022",695,680,695,680,0.29K,2.17%
"Mar 17, 2022",680.25,665.5,681,663.25,0.24K,2.33%
"Mar 16, 2022",664.75,658.25,672.75,657.5,0.15K,0.49%
"Mar 15, 2022",661.5,663,664,645.25,0.34K,-8.38%
"Mar 14, 2022",722,602.75,610,602.5,0.01K,16.97%
"Mar 11, 2022",617.25,601.75,615.5,601.5,0.04K,1.35%
"Mar 10, 2022",609,581.25,617,581.25,0.06K,3.79%
"Mar 09, 2022",586.75,583.5,590.5,582.5,0.02K,-0.51%
"Mar 08, 2022",589.75,583,595.25,565,0.06K,0.77%
"Mar 07, 2022",585.25,602.5,610,570,0.04K,-1.43%
"Mar 04, 2022",593.75,594.25,612.75,580.25,0.03K,0.38%
"Mar 03, 2022",591.5,600,600,563,0.04K,1.41%
"Mar 02, 2022",583.25,603,609.75,589.5,0.02K,-3.36%
"Mar 01, 2022",603.5,583,608.5,580,0.05K,5.97%
"Feb 28, 2022",569.5,553.25,578.5,553.25,0.04K,-11.60%
"Feb 25, 2022",644.25,655.5,669.5,635.25,0.07K,-1.79%
"Feb 24, 2022",656,678.25,718.75,654,0.30K,-3.35%
"Feb 23, 2022",678.75,695,702.75,665,0.24K,-0.22%
"Feb 22, 2022",680.25,699.75,700,649.5,0.53K,-1.34%
"Feb 18, 2022",689.5,716.25,717.75,685.25,0.49K,-3.57%
"Feb 17, 2022",715,721.5,730,712.5,0.47K,-0.59%
"Feb 16, 2022",719.25,716.75,731.75,710,0.43K,0.00%
"Feb 15, 2022",719.25,744,744,715.25,0.42K,-3.52%
"Feb 14, 2022",745.5,743.25,765,736.75,0.26K,-0.57%
"Feb 11, 2022",749.75,762,764,738.25,0.25K,-0.86%
"Feb 10, 2022",756.25,769.5,779.5,744,0.48K,-2.07%
"Feb 09, 2022",772.25,741.25,774,741.25,0.38K,3.55%
"Feb 08, 2022",745.75,739.25,747,733.75,0.35K,1.32%
"Feb 07, 2022",736,734.25,737.75,715,0.35K,0.68%
"Feb 04, 2022",731,728,735.5,725.25,0.26K,0.38%
"Feb 03, 2022",728.25,727.75,737.5,724,0.27K,0.45%
"Feb 02, 2022",725,719,730,709.5,0.39K,1.40%
"Feb 01, 2022",715,699.75,722.25,686,0.43K,2.80%
"Jan 31, 2022",695.5,675,715.5,675,0.87K,2.96%
"Jan 28, 2022",675.5,654.75,678,645.25,0.54K,3.13%
"Jan 27, 2022",655,658.5,664,647,0.21K,-0.34%
"Jan 26, 2022",657.25,650.5,659.75,635.5,0.18K,0.73%
"Jan 25, 2022",652.5,630,659.5,627.5,0.30K,3.37%
"Jan 24, 2022",631.25,621.75,639.5,621.5,0.22K,1.32%
"Jan 21, 2022",623,641,644,615.75,0.51K,-2.81%
"Jan 20, 2022",641,659.75,662,638.25,0.35K,-2.21%
"Jan 19, 2022",655.5,648,666.25,644.75,0.77K,1.35%
"Jan 18, 2022",646.75,610,648,606,0.66K,6.20%
"Jan 14, 2022",609,622.5,622.5,600.75,0.56K,-2.25%
"Jan 13, 2022",623,643.25,644,621,0.71K,-3.56%
"Jan 12, 2022",646,657.25,658.25,642.5,0.40K,-1.52%
"Jan 11, 2022",656,661,663.75,655.25,0.23K,-1.20%
"Jan 10, 2022",664,668.5,677.25,658,0.29K,-0.64%
"Jan 07, 2022",668.25,666.75,671.75,660,0.32K,-0.34%
"Jan 06, 2022",670.5,685.25,685.25,663.5,0.53K,-2.12%
"Jan 05, 2022",685,694,694,680.25,0.12K,-1.01%
"Jan 04, 2022",692,683.75,694.25,677.75,0.24K,1.65%
"Jan 03, 2022",680.75,689.25,691,675.25,0.28K,-0.33%
"Dec 31, 2021",683,690.75,692,677.75,0.10K,-0.51%
"Dec 30, 2021",686.5,694.25,696.25,674,0.31K,-1.26%
"Dec 29, 2021",695.25,701,704,693,0.20K,-1.03%
"Dec 28, 2021",702.5,721,724.75,702,0.22K,-2.97%
"Dec 27, 2021",724,709.5,725,708.75,0.43K,4.25%
"Dec 24, 2021",694.5,694.6,694.6,694.5,-,10.68%
"Dec 23, 2021",627.5,615,621.75,615,0.03K,-9.52%
"Dec 22, 2021",693.5,668,695,667,0.61K,4.01%
"Dec 21, 2021",666.75,661.5,676,650,0.63K,0.68%
"Dec 20, 2021",662.25,699.5,704.75,662.25,0.86K,-5.70%
"Dec 17, 2021",702.25,711,713,697.75,0.30K,-1.33%
"Dec 16, 2021",711.75,712,714.5,706,0.22K,0.11%
"Dec 15, 2021",711,715,717.75,710,0.22K,-0.04%
"Dec 14, 2021",711.25,706.75,719.75,701.25,0.00K,0.00%
"Dec 13, 2021",711.25,720,721.5,720,0.00K,-0.94%
"Dec 10, 2021",718,696.25,700,689.25,0.06K,3.12%
"Dec 09, 2021",696.25,711,711,688,0.03K,-1.73%
"Dec 08, 2021",708.5,717,717,705,0.04K,-1.08%
