Date,Price,Open,High,Low,Vol.,Change %
"Jun 17, 2022",798.75,787.62,799.5,786.88,-,1.33%
"Jun 16, 2022",788.25,774,792,773,121.54K,1.84%
"Jun 15, 2022",774,767,779.75,762,105.91K,0.75%
"Jun 14, 2022",768.25,765.75,771,759,125.80K,-0.13%
"Jun 13, 2022",769.25,781,782.25,758.5,170.04K,-0.52%
"Jun 10, 2022",773.25,772.25,781,765.75,156.10K,0.03%
"Jun 09, 2022",773,764.5,782.75,758,226.33K,1.11%
"Jun 08, 2022",764.5,757,774,756,223.85K,0.99%
"Jun 07, 2022",757,739,765,735,227.58K,1.95%
"Jun 06, 2022",742.5,732.25,744.25,731.5,131.92K,2.13%
"Jun 03, 2022",727,730.25,736,725.75,105.54K,-0.45%
"Jun 02, 2022",730.25,731.25,739.25,726.25,127.14K,-0.14%
"Jun 01, 2022",731.25,753.75,756.25,720.5,210.39K,-2.95%
"May 31, 2022",753.5,777,777.25,747.25,175.46K,-2.85%
"May 30, 2022",775.62,776,777.12,775.62,-,-0.21%
"May 27, 2022",777.25,765,780.5,761,101.09K,1.60%
"May 26, 2022",765,762.75,772.5,757.5,104.92K,-0.94%
"May 25, 2022",772.25,770,773,755,127.43K,0.06%
"May 24, 2022",771.75,785,787,762,147.02K,-1.84%
"May 23, 2022",786.25,780.25,788,774.5,88.36K,0.96%
"May 20, 2022",778.75,781.25,782,774.5,88.00K,-0.57%
"May 19, 2022",783.25,782,789.75,773.25,106.42K,0.22%
"May 18, 2022",781.5,800.75,802.25,778,120.12K,-2.40%
"May 17, 2022",800.75,808,809.25,797.25,98.32K,-1.08%
"May 16, 2022",809.5,795,810.25,792.75,138.86K,1.89%
"May 13, 2022",794.5,808,808,808,0.03K,-2.34%
"May 12, 2022",813.5,802.5,814,798.75,0.91K,1.40%
"May 11, 2022",802.25,788,802.75,788,0.65K,2.00%
"May 10, 2022",786.5,787.5,790.75,782.5,0.60K,0.25%
"May 09, 2022",784.5,792.25,792.25,782,0.75K,-0.03%
"May 06, 2022",784.75,796.25,796.75,776.5,132.01K,-1.60%
"May 05, 2022",797.5,794.25,802,791,92.04K,0.41%
"May 04, 2022",794.25,793,803.75,789.5,102.96K,-0.81%
"May 03, 2022",800.75,817.5,822,799.75,2.21K,-1.51%
"May 02, 2022",813,811.5,814,798,2.85K,-0.64%
"Apr 29, 2022",818.25,816.25,827,814,11.14K,0.28%
"Apr 28, 2022",816,816.25,823.5,811,47.63K,0.06%
"Apr 27, 2022",815.5,802.75,820.25,797.5,70.67K,1.53%
"Apr 26, 2022",803.25,800.25,812.25,795,85.31K,0.37%
"Apr 25, 2022",800.25,796.75,802,784.75,114.12K,0.91%
"Apr 22, 2022",793,798.75,807.5,783.5,140.80K,-0.78%
"Apr 21, 2022",799.25,814,814.25,797.5,111.00K,-2.02%
