LOCAL_DATE,mean_temp,mean_prec
01/01/1940 00:00,-11.97142857,6.3
02/01/1940 00:00,-12.27142857,8.4
03/01/1940 00:00,-11.72857143,2
04/01/1940 00:00,-12.85714286,2.1
05/01/1940 00:00,-12.25714286,17.8
06/01/1940 00:00,-10.97142857,3.8
07/01/1940 00:00,-13.28571429,0
08/01/1940 00:00,-11.97142857,4.3
09/01/1940 00:00,-12.05714286,4.7
10/01/1940 00:00,-10.87142857,2.4
11/01/1940 00:00,-8.942857143,8.6
12/01/1940 00:00,-8.128571429,5.1
13/01/1940 00:00,-4.428571429,6.9
14/01/1940 00:00,-9.342857143,34.1
15/01/1940 00:00,-12.01428571,23.4
16/01/1940 00:00,-15.72857143,8.6
17/01/1940 00:00,-18.75714286,2.8
18/01/1940 00:00,-14.62857143,0.5
19/01/1940 00:00,-12.15714286,0.3
20/01/1940 00:00,-11.8,2.8
21/01/1940 00:00,-9.542857143,7.7
22/01/1940 00:00,-12.2,2.9
23/01/1940 00:00,-14.74285714,0
24/01/1940 00:00,-14.52857143,4.3
25/01/1940 00:00,-13.32857143,14.8
26/01/1940 00:00,-11.51428571,9.4
27/01/1940 00:00,-8.214285714,27
28/01/1940 00:00,-6.314285714,16
29/01/1940 00:00,-5.342857143,0
30/01/1940 00:00,-5.2,1.8
31/01/1940 00:00,-7.342857143,6.4
01/02/1940 00:00,-8.442857143,7.4
02/02/1940 00:00,-10.51428571,0.6
03/02/1940 00:00,-8.3,7.2
04/02/1940 00:00,-6.728571429,9.9
05/02/1940 00:00,-5.442857143,7.2
06/02/1940 00:00,-6.114285714,54.9
07/02/1940 00:00,-5.4,2.6
08/02/1940 00:00,-7.3,19.7
09/02/1940 00:00,-5.857142857,12
10/02/1940 00:00,-5.657142857,13.9
11/02/1940 00:00,-3.128571429,16.3
12/02/1940 00:00,-5.914285714,21.9
13/02/1940 00:00,-7.557142857,2.8
14/02/1940 00:00,-5.9,3.3
15/02/1940 00:00,-6.042857143,7.8
16/02/1940 00:00,-6.557142857,21.6
17/02/1940 00:00,-5.642857143,3.8
18/02/1940 00:00,-4.428571429,8.7
19/02/1940 00:00,-3.614285714,11.2
20/02/1940 00:00,-5.128571429,21.1
21/02/1940 00:00,-7.842857143,2.3
22/02/1940 00:00,-13.31428571,1.5
23/02/1940 00:00,-14.54285714,10.2
24/02/1940 00:00,-13.84285714,15.3
25/02/1940 00:00,-12.95714286,26.6
26/02/1940 00:00,-13.31428571,9.6
27/02/1940 00:00,-12.82857143,3.9
28/02/1940 00:00,-11.05714286,7.2
29/02/1940 00:00,-7.114285714,4.1
01/03/1940 00:00,-5.9,13.5
02/03/1940 00:00,-6.057142857,0.3
03/03/1940 00:00,-4.042857143,20.3
04/03/1940 00:00,-1.028571429,35.1
05/03/1940 00:00,0.314285714,17.6
06/03/1940 00:00,0.728571429,30.8
07/03/1940 00:00,-0.942857143,19.8
08/03/1940 00:00,-1.785714286,5.9
09/03/1940 00:00,-3.8,37.8
10/03/1940 00:00,-6.771428571,3.1
11/03/1940 00:00,-7.542857143,5.1
12/03/1940 00:00,-7.771428571,1
13/03/1940 00:00,-6,7.4
14/03/1940 00:00,-1.828571429,34.6
15/03/1940 00:00,-1.2,6.7
16/03/1940 00:00,-1.228571429,5.9
17/03/1940 00:00,-1.085714286,1
18/03/1940 00:00,-2.7,14
19/03/1940 00:00,-4.042857143,3.8
20/03/1940 00:00,-5.8,13.8
21/03/1940 00:00,-7.028571429,7.4
22/03/1940 00:00,-8.9,12
23/03/1940 00:00,-10.77142857,5.3
24/03/1940 00:00,-10.11428571,0.5
25/03/1940 00:00,-7.442857143,5.1
26/03/1940 00:00,-5.228571429,28
27/03/1940 00:00,-3.342857143,22.1
28/03/1940 00:00,-1.757142857,12.2
29/03/1940 00:00,0.1,7.6
30/03/1940 00:00,1.385714286,10.7
31/03/1940 00:00,0.957142857,14
01/04/1940 00:00,0.285714286,6.4
02/04/1940 00:00,0.2,8.6
03/04/1940 00:00,0.385714286,18.3
04/04/1940 00:00,1.071428571,6
05/04/1940 00:00,0.2,1.3
06/04/1940 00:00,1.185714286,12.4
07/04/1940 00:00,2.071428571,10.9
08/04/1940 00:00,1.342857143,32.7
09/04/1940 00:00,1.442857143,8
10/04/1940 00:00,-1.942857143,6.4
11/04/1940 00:00,-0.571428571,17.6
12/04/1940 00:00,1.528571429,5.3
13/04/1940 00:00,4.257142857,13
14/04/1940 00:00,3.2,3.6
15/04/1940 00:00,2.142857143,11.4
16/04/1940 00:00,3.814285714,4.1
17/04/1940 00:00,6.042857143,22.1
18/04/1940 00:00,8,28.5
19/04/1940 00:00,7.457142857,0
20/04/1940 00:00,6.6,31.2
21/04/1940 00:00,5.1,31.5
22/04/1940 00:00,3.742857143,15.5
23/04/1940 00:00,4.428571429,15.7
24/04/1940 00:00,4.014285714,5.1
25/04/1940 00:00,4.242857143,0.8
26/04/1940 00:00,6.557142857,4.1
27/04/1940 00:00,7.3,25.4
28/04/1940 00:00,7.6,14
29/04/1940 00:00,7.957142857,10.6
30/04/1940 00:00,8.942857143,25.4
01/05/1940 00:00,10.55714286,29.7
02/05/1940 00:00,9.385714286,18
03/05/1940 00:00,10.18571429,11
04/05/1940 00:00,10.42857143,10.2
05/05/1940 00:00,8.914285714,18.6
06/05/1940 00:00,9.885714286,4.5
07/05/1940 00:00,9.142857143,4.4
08/05/1940 00:00,9.042857143,6.2
09/05/1940 00:00,10.11428571,0.3
10/05/1940 00:00,11.52857143,2.1
11/05/1940 00:00,12.74285714,0
12/05/1940 00:00,10.34285714,25.4
13/05/1940 00:00,9.514285714,9
14/05/1940 00:00,10.22857143,3
15/05/1940 00:00,12.22857143,13.7
