x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.1,2020-01-01 00:00:00,AB,2020,1,1,-4,,-9.8,,1.8,,0,T,0,,0,T,19,,,M,,M,0,,22,,70,,99,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.2,2020-01-02 00:00:00,AB,2020,1,2,-2,,-4.7,,0.7,,1.1,,0,,3,,20,,30,,67,,0,,20,,35,,99,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.3,2020-01-03 00:00:00,AB,2020,1,3,-8,,-11.3,,-4.6,,0,T,0,,0,T,21,,15,,41,,0,,26,,59,,77,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.4,2020-01-04 00:00:00,AB,2020,1,4,-4.7,,-11.3,,2,,0,,0,,0,,21,,30,,52,,0,,22.7,,50,,80,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.5,2020-01-05 00:00:00,AB,2020,1,5,-9,,-17.6,,-0.3,,0,,0,,0,,20,,34,,45,,0,,27,,49,,79,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.6,2020-01-06 00:00:00,AB,2020,1,6,-9.9,,-17.6,,-2.1,,0,T,0,,0,T,20,,,M,,M,0,,27.9,,49,,89,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.7,2020-01-07 00:00:00,AB,2020,1,7,-11.2,,-14,,-8.3,,2.2,,0,,2.2,,19,,11,,55,,0,,29.2,,75,,87,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.8,2020-01-08 00:00:00,AB,2020,1,8,-14.8,,-18.1,,-11.4,,3,,0,,3.2,,21,,12,,55,,0,,32.8,,70,,84,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.9,2020-01-09 00:00:00,AB,2020,1,9,-24.6,,-32.1,,-17.1,,0,T,0,,0,T,23,,35,,50,,0,,42.6,,66,,79,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.10,2020-01-10 00:00:00,AB,2020,1,10,-24.5,,-31.7,,-17.2,,0,T,0,,0,T,23,,13,,,M,0,,42.5,,74,,78,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.11,2020-01-11 00:00:00,AB,2020,1,11,-20.3,,-21.7,,-18.9,,1.2,,0,,1.2,,23,,34,,35,,0,,38.3,,64,,76,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.12,2020-01-12 00:00:00,AB,2020,1,12,-24.6,,-27.7,,-21.4,,1.4,,0,,1.4,,25,,30,,52,,0,,42.6,,56,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.13,2020-01-13 00:00:00,AB,2020,1,13,-31.7,,-37.8,,-25.5,,1.4,,0,,1.4,,26,,,M,,M,0,,49.7,,59,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.14,2020-01-14 00:00:00,AB,2020,1,14,-36.6,,-41.6,,-31.6,,0,T,0,,0,T,27,,,M,,M,0,,54.6,,59,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.15,2020-01-15 00:00:00,AB,2020,1,15,-37,,-42.3,,-31.6,,0,T,0,,0,T,27,,,M,,M,0,,55,,62,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.16,2020-01-16 00:00:00,AB,2020,1,16,-29.6,,-32.3,,-26.9,,3.8,,0,,3.8,,28,,11,,33,,0,,47.6,,63,,69,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.17,2020-01-17 00:00:00,AB,2020,1,17,-26.8,,-28.4,,-25.1,,0,T,0,,0,T,28,,30,,32,,0,,44.8,,57,,67,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.18,2020-01-18 00:00:00,AB,2020,1,18,-27.7,,-32.3,,-23,,0,T,0,,0,T,27,,,M,,M,0,,45.7,,61,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.19,2020-01-19 00:00:00,AB,2020,1,19,-21.1,,-24.9,,-17.3,,0,,0,,0,,27,,14,,32,,0,,39.1,,60,,72,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.20,2020-01-20 00:00:00,AB,2020,1,20,-10.8,,-19.4,,-2.2,,0,T,0,,0,T,27,,,M,,M,0,,28.8,,73,,86,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.21,2020-01-21 00:00:00,AB,2020,1,21,-7.9,,-14.8,,-0.9,,0,,0,,0,,26,,11,,33,,0,,25.9,,64,,91,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.22,2020-01-22 00:00:00,AB,2020,1,22,-8.2,,-14.4,,-2,,10.5,,0,,10.5,,29,,,M,,M,0,,26.2,,78,,96,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.23,2020-01-23 00:00:00,AB,2020,1,23,-9,,-17.9,,0,,0,,0,,0,,37,,15,,42,,0,,27,,59,,92,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.24,2020-01-24 00:00:00,AB,2020,1,24,-6.7,,-13.7,,0.3,,0,,0,,0,,31,E,21,,52,,0,,24.7,,73,,92,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.25,2020-01-25 00:00:00,AB,2020,1,25,-8.2,,-15.7,,-0.7,,0,,0,,0,,31,,,M,,M,0,,26.2,,75,,96,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.26,2020-01-26 00:00:00,AB,2020,1,26,-11.5,,-18.3,,-4.7,,0,T,0,,0,T,31,,13,,37,,0,,29.5,,74,,95,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.27,2020-01-27 00:00:00,AB,2020,1,27,-10.6,,-16.6,,-4.5,,0,T,0,,0,T,31,,11,,42,,0,,28.6,,82,,97,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.28,2020-01-28 00:00:00,AB,2020,1,28,-14.7,,-19.8,,-9.6,,0,T,0,,0,T,31,,,M,,M,0,,32.7,,80,,90,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.29,2020-01-29 00:00:00,AB,2020,1,29,-9,,-19.7,,1.7,,0,T,0,,0,T,31,,17,,50,,0,,27,,60,,90,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.30,2020-01-30 00:00:00,AB,2020,1,30,-4.9,,-11.2,,1.5,,0,,0,,0,,31,,18,,33,,0,,22.9,,52,,89,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.1.31,2020-01-31 00:00:00,AB,2020,1,31,-4.2,,-10.2,,1.8,,0,T,0,,0,T,25,,14,,35,,0,,22.2,,51,,72,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.1,2020-02-01 00:00:00,AB,2020,2,1,0.8,,-3.4,,5,,0.8,,0.4,,0,T,25,,30,,68,,0,,17.2,,38,,93,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.2,2020-02-02 00:00:00,AB,2020,2,2,-7.6,,-12.2,,-2.9,,1.4,,0,,2,,23,,30,,63,,0,,25.6,,44,,94,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.3,2020-02-03 00:00:00,AB,2020,2,3,-15.4,,-24.2,,-6.5,,0,T,0,,0,T,25,,,M,,M,0,,33.4,,72,,91,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.4,2020-02-04 00:00:00,AB,2020,2,4,-13.8,,-24.6,,-3,,3,,0,,3,,25,,,M,,M,0,,31.8,,59,,95,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.5,2020-02-05 00:00:00,AB,2020,2,5,-1.5,,-4.8,,1.8,,2.8,,0,,3,,29,,30,,42,,0,,19.5,,62,,98,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.6,2020-02-06 00:00:00,AB,2020,2,6,-1.3,,-5.3,,2.8,,0,T,0,,0,T,30,,29,,52,,0,,19.3,,52,,94,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.7,2020-02-07 00:00:00,AB,2020,2,7,-7.5,,-13,,-1.9,,0,T,0,,0,T,29,,,M,,M,0,,25.5,,56,,80,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.8,2020-02-08 00:00:00,AB,2020,2,8,-11.9,,-20.4,,-3.4,,0,T,0,,0,T,29,,32,,32,,0,,29.9,,53,,88,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.9,2020-02-09 00:00:00,AB,2020,2,9,-6,,-13.7,,1.7,,0,T,0,,0,T,29,,32,,72,,0,,24,,53,,84,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.10,2020-02-10 00:00:00,AB,2020,2,10,-4.5,,-8,,-1,,0,,0,,0,,28,,,M,,M,0,,22.5,,55,,75,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.11,2020-02-11 00:00:00,AB,2020,2,11,-7.5,,-16.9,,1.9,,6.6,,0,,6.6,,28,,4,,54,,0,,25.5,,65,,97,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.12,2020-02-12 00:00:00,AB,2020,2,12,-19.7,,-24.9,,-14.4,,0,,0,,0,,35,,13,,35,,0,,37.7,,69,,78,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.13,2020-02-13 00:00:00,AB,2020,2,13,-9.3,,-15.2,,-3.3,,0,T,0,,0,T,35,,16,,39,,0,,27.3,,71,,90,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.14,2020-02-14 00:00:00,AB,2020,2,14,-9.2,,-14.4,,-4,,0.2,,0,,0.2,,29,,,M,,M,0,,27.2,,60,,89,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.15,2020-02-15 00:00:00,AB,2020,2,15,-11.7,,-16.4,,-6.9,,0,T,0,,0.2,,32,,13,,35,,0,,29.7,,66,,90,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.16,2020-02-16 00:00:00,AB,2020,2,16,-12.6,,-17.6,,-7.6,,0,T,0,,0,T,32,,,M,,M,0,,30.6,,72,,92,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.17,2020-02-17 00:00:00,AB,2020,2,17,-22.7,,-31.5,,-13.8,,4,,0,,4,,35,,1,,,M,0,,40.7,,59,,84,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.18,2020-02-18 00:00:00,AB,2020,2,18,-24.5,,-32.3,,-16.7,,0,T,0,,0,T,36,,,M,,M,0,,42.5,,64,,78,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.19,2020-02-19 00:00:00,AB,2020,2,19,-13.9,,-23.7,,-4.1,,0,,0,,0,,36,,,M,,M,0,,31.9,,55,,80,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.20,2020-02-20 00:00:00,AB,2020,2,20,-8.3,,-19.1,,2.6,,0,,0,,0,,36,,,M,,M,0,,26.3,,42,,77,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.21,2020-02-21 00:00:00,AB,2020,2,21,-3.5,,-13.3,,6.3,,0,,0,,0,,35,,,M,,M,0,,21.5,,34,,72,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.22,2020-02-22 00:00:00,AB,2020,2,22,-5.8,,-13.5,,1.9,,0.4,,0,,0.4,,34,,33,,39,,0,,23.8,,39,,91,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.23,2020-02-23 00:00:00,AB,2020,2,23,-10.3,,-18.6,,-1.9,,0,,0,,0,,34,,,M,,M,0,,28.3,,40,,81,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.24,2020-02-24 00:00:00,AB,2020,2,24,-13.4,,-20.9,,-5.9,,0,,0,,0,,34,,,M,,M,0,,31.4,,56,,82,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.25,2020-02-25 00:00:00,AB,2020,2,25,-13.3,,-23.1,,-3.4,,0,,0,,0,,34,,,M,,M,0,,31.3,,61,,83,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.26,2020-02-26 00:00:00,AB,2020,2,26,-2.4,,-8.9,,4.1,,0,T,0,,0,T,34,,31,,33,,0,,20.4,,53,,81,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.27,2020-02-27 00:00:00,AB,2020,2,27,0.6,,-6.2,,7.3,,0,T,0,,0,T,34,,,M,,M,0,,17.4,,38,,70,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.28,2020-02-28 00:00:00,AB,2020,2,28,-2.2,,-8.8,,4.4,,0,T,0,,0,T,33,,10,,,M,0,,20.2,,48,,71,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2020.2.29,2020-02-29 00:00:00,AB,2020,2,29,-2.7,,-5.5,,0.2,,4,,0,,4.2,,32,,8,,52,,0,,20.7,,58,,95,
