x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.12,2012-04-12 00:00:00,AB,2012,4,12,4.8,,-0.9,,10.5,,1.2,,1.2,,0,,,,11,,37,,0,,13.2,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.13,2012-04-13 00:00:00,AB,2012,4,13,2.6,,0.3,,4.8,,16.2,,14.6,,1.6,,0,,29,,33,,0,,15.4,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.14,2012-04-14 00:00:00,AB,2012,4,14,-1.5,,-3.5,,0.5,,6.4,,0,,6.4,,2,,30,,50,,0,,19.5,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.15,2012-04-15 00:00:00,AB,2012,4,15,-3.6,,-5,,-2.2,,0.6,,0,,0.6,,6,,32,,32,,0,,21.6,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.16,2012-04-16 00:00:00,AB,2012,4,16,0.7,,-8.2,,9.6,,0,T,0,,0,T,4,,0,,0,,0,,17.3,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.17,2012-04-17 00:00:00,AB,2012,4,17,-0.5,,-5.2,,4.3,,0,T,0,,0,T,0,T,0,,0,,0,,18.5,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.18,2012-04-18 00:00:00,AB,2012,4,18,0.7,,-5.1,,6.4,,0,T,0,T,0,,0,T,0,,0,,0,,17.3,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.19,2012-04-19 00:00:00,AB,2012,4,19,5.6,,-1.4,,12.6,,0,,0,,0,,0,T,13,,41,,0,,12.4,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.20,2012-04-20 00:00:00,AB,2012,4,20,7.2,,0.7,,13.7,,1.8,,1.8,,0,,,,29,,70,,0,,10.8,,,,,
-113.57944444444445,53.31,EDMONTON INTL A,3012216,3012216.2012.4.21,2012-04-21 00:00:00,AB,2012,4,21,5.5,,-4.1,,15.1,,0,,0,,0,,,,29,,56,,0,,12.5,,,,,
