LOCAL_DATE,mean_temp,mean_prec,,,,
01/01/1980 00:00,-7.592307692,9.2,01/01/1980,43.7960199,28.41871921,0.019754902
02/01/1980 00:00,-9.046153846,8.7,02/01/1980,43.18226601,27.24630542,0.016699507
03/01/1980 00:00,-10.90769231,38.6,03/01/1980,41.51231527,25.66995074,0.041970443
04/01/1980 00:00,-13.03846154,5.5,04/01/1980,39.38613861,25.76237624,0.105665025
05/01/1980 00:00,-14.06153846,11.4,05/01/1980,39.95073892,24.07881773,0.059455446
06/01/1980 00:00,-15.65384615,12.9,06/01/1980,41.74876847,19.90640394,0.060049505
07/01/1980 00:00,-13.16923077,29.3,07/01/1980,38.29064039,19.76847291,0.048817734
08/01/1980 00:00,-14.22307692,12.8,08/01/1980,34.67980296,21.09852217,0.054433498
09/01/1980 00:00,-15.93076923,6.7,09/01/1980,35.15346535,20.58415842,0.110742574
10/01/1980 00:00,-16.90769231,27.7,10/01/1980,46.591133,24.08866995,0.054384236
11/01/1980 00:00,-13.05384615,92.8,11/01/1980,51.85572139,26.92118227,0.330196078
12/01/1980 00:00,-9.6,63.9,12/01/1980,47.28217822,26.28078818,0.116305419
13/01/1980 00:00,-10.96153846,3.3,13/01/1980,49.85221675,31.78817734,0.102068966
14/01/1980 00:00,-7.584615385,15,14/01/1980,52.03960396,33.65841584,0.118571429
15/01/1980 00:00,-4.369230769,18.3,15/01/1980,51.63861386,37.11330049,0.04408867
16/01/1980 00:00,-6.469230769,6,16/01/1980,52.27093596,36.39901478,0.151871921
17/01/1980 00:00,-5.438461538,12.9,17/01/1980,49.97044335,36.12807882,0.132892157
18/01/1980 00:00,-4.146153846,10.3,18/01/1980,47.66995074,33.5,0.129803922
19/01/1980 00:00,-4.084615385,40.9,19/01/1980,45.83743842,29.63546798,0.054313725
20/01/1980 00:00,-5.346153846,15.9,20/01/1980,44.71428571,27.5862069,0.039408867
21/01/1980 00:00,-7.3,1.7,21/01/1980,45.28078818,28.05940594,0.059704433
22/01/1980 00:00,-7.515384615,17,22/01/1980,44.16748768,27.5320197,0.193349754
23/01/1980 00:00,-4.976923077,69.5,23/01/1980,41.7635468,22.22167488,0.066519608
24/01/1980 00:00,-10.76923077,36.9,24/01/1980,45.22167488,23.00985222,0.02622549
25/01/1980 00:00,-15.30769231,5,25/01/1980,43.42364532,24.19211823,0.024264706
26/01/1980 00:00,-14.59230769,5.6,26/01/1980,35.86206897,21.73891626,0.069408867
27/01/1980 00:00,-13.6,3.2,27/01/1980,32.70935961,20.2955665,0.054405941
28/01/1980 00:00,-14.41538462,4.3,28/01/1980,31.73891626,18.87192118,0.034630542
29/01/1980 00:00,-15.96923077,8.6,29/01/1980,31.11330049,16.03448276,0.068431373
30/01/1980 00:00,-15.73076923,1.7,30/01/1980,32.11330049,15.43349754,0.086813725
31/01/1980 00:00,-14.42307692,18.1,31/01/1980,31.85221675,13.25615764,0.060441176
