Month,Year,Import
January,1990,3765.00
February,1990,1960.00
March,1990,1597.00
April,1990,3701.00
May,1990,8182.00
June,1990,4466.00
July,1990,3417.00
August,1990,9640.00
September,1990,11714.00
October,1990,12297.00
November,1990,10892.00
December,1990,8201.00
January,1991,2542.00
February,1991,3778.00
March,1991,4631.00
April,1991,7988.00
May,1991,3843.00
June,1991,4481.00
July,1991,4271.00
August,1991,7856.00
September,1991,1112.00
October,1991,8317.00
November,1991,5528.00
December,1991,11142.00
January,1992,7041.00
February,1992,9853.00
March,1992,10204.00
April,1992,19747.00
May,1992,15902.00
June,1992,15848.00
July,1992,17656.00
August,1992,27844.00
September,1992,17068.00
October,1992,16512.00
November,1992,11359.00
December,1992,19345.00
January,1993,10177.00
February,1993,13840.00
March,1993,14018.00
April,1993,17252.00
May,1993,7837.00
June,1993,8258.00
July,1993,6690.00
August,1993,20629.00
September,1993,23383.00
October,1993,32028.00
November,1993,31721.00
December,1993,24588.00
January,1994,21074.00
February,1994,19090.00
March,1994,22939.00
April,1994,29217.00
May,1994,39687.00
June,1994,31522.00
July,1994,26008.00
August,1994,17150.00
September,1994,16850.00
October,1994,21319.00
November,1994,17523.00
December,1994,13741.00
January,1995,15162.00
February,1995,13779.00
March,1995,19474.00
April,1995,25210.00
May,1995,25944.00
June,1995,25909.00
July,1995,22272.00
August,1995,18493.00
September,1995,17598.00
October,1995,16575.00
November,1995,16901.00
December,1995,15149.00
January,1996,10768.00
February,1996,8760.00
March,1996,19312.00
April,1996,21696.00
May,1996,19595.00
June,1996,20867.00
July,1996,17430.00
August,1996,18605.00
September,1996,13423.00
October,1996,27112.00
November,1996,34047.00
December,1996,29323.00
January,1997,25358.00
February,1997,41635.00
March,1997,35612.00
April,1997,31093.00
May,1997,34732.00
June,1997,31548.00
July,1997,19756.00
August,1997,25446.00
September,1997,18671.00
October,1997,33279.00
November,1997,28434.00
December,1997,28929.00
January,1998,22239.00
February,1998,27956.00
March,1998,30720.00
April,1998,23303.00
May,1998,27811.00
June,1998,21201.00
July,1998,22383.00
August,1998,20328.00
September,1998,14942.00
October,1998,26857.00
November,1998,19664.00
December,1998,21747.00
January,1999,26457.00
February,1999,28759.00
March,1999,23008.00
April,1999,18573.00
May,1999,29864.00
June,1999,25064.00
July,1999,31141.00
August,1999,26513.00
September,1999,17029.00
October,1999,13730.00
November,1999,16552.00
December,1999,15298.00
January,2000,10173.00
February,2000,19800.00
March,2000,21943.00
April,2000,21966.00
May,2000,20726.00
June,2000,20309.00
July,2000,19710.00
August,2000,9367.00
September,2000,14828.00
October,2000,23163.00
November,2000,24842.00
December,2000,21183.00
January,2001,16871.00
February,2001,16880.00
March,2001,20995.00
April,2001,18015.00
May,2001,20236.00
June,2001,20823.00
July,2001,30029.00
August,2001,21935.00
September,2001,24023.00
October,2001,24973.00
November,2001,35016.00
December,2001,30835.00
January,2002,23043.00
February,2002,27907.00
March,2002,26902.00
April,2002,22743.00
May,2002,18883.00
June,2002,24572.00
July,2002,28681.00
August,2002,20134.00
September,2002,29053.00
October,2002,12622.00
November,2002,11725.00
December,2002,7480.00
January,2003,6885.00
February,2003,7539.00
March,2003,8432.00
April,2003,8934.00
May,2003,5245.00
June,2003,4310.00
July,2003,4204.00
August,2003,24357.00
September,2003,21408.00
October,2003,12584.00
November,2003,5403.00
December,2003,7399.00
January,2004,8334.00
February,2004,9665.00
March,2004,13827.00
April,2004,13123.00
May,2004,13952.00
June,2004,10849.00
July,2004,13272.00
August,2004,19755.00
September,2004,21496.00
October,2004,14227.00
November,2004,10781.00
December,2004,11389.00
January,2005,14583.00
February,2005,14695.00
March,2005,11496.00
April,2005,12555.00
May,2005,11231.00
June,2005,12422.00
July,2005,9421.00
August,2005,20923.00
September,2005,20220.00
October,2005,14455.00
November,2005,12374.00
December,2005,17250.00
January,2006,14777.00
February,2006,20198.00
March,2006,22879.00
April,2006,14671.00
May,2006,23683.00
June,2006,26104.00
July,2006,28547.00
August,2006,26726.00
September,2006,30856.00
October,2006,34515.00
November,2006,28243.00
December,2006,38047.00
January,2007,37047.00
February,2007,38659.00
March,2007,46637.00
April,2007,50842.00
May,2007,44794.00
June,2007,48510.00
July,2007,48022.00
August,2007,33546.00
September,2007,33702.00
October,2007,35537.00
November,2007,41704.00
December,2007,41033.00
January,2008,62813.00
February,2008,68140.00
March,2008,133301.00
April,2008,129110.00
May,2008,157779.00
June,2008,108477.00
July,2008,87723.00
August,2008,69990.00
September,2008,58503.00
October,2008,63181.00
November,2008,71674.00
December,2008,51796.00
January,2009,87426.00
February,2009,82087.00
March,2009,79834.00
April,2009,70055.00
May,2009,53320.00
June,2009,50315.00
