,Month,Year,Import,Inflation_rate,export,fertlizer price index
Jan-90,January,1990,3765,5.2,27,32.1
Feb-90,February,1990,1960,5.3,15630,32.49
Mar-90,March,1990,1597,5.2,14404,33.1
Apr-90,April,1990,3701,4.7,12,33.73
May-90,May,1990,8182,4.4,5,33.18
Jun-90,June,1990,4466,4.7,185,33.4
Jul-90,July,1990,3417,4.8,1550,33.45
Aug-90,August,1990,9640,5.6,7074,34.84
Sep-90,September,1990,11714,6.2,7588,31.86
Oct-90,October,1990,12297,6.3,625,38.73
Nov-90,November,1990,10892,6.3,1391,40.04
Dec-90,December,1990,8201,6.1,2654,40.36
Jan-91,January,1991,2542,5.7,1664,40.97
Feb-91,February,1991,3778,5.3,7780,41.1
Mar-91,March,1991,4631,4.9,4591,39.96
Apr-91,April,1991,7988,4.9,6083,40.25
May-91,May,1991,3843,5,2703,39.06
Jun-91,June,1991,4481,4.7,195,38.57
Jul-91,July,1991,4271,4.4,1528,38.13
Aug-91,August,1991,7856,3.8,2370,37.88
Sep-91,September,1991,1112,3.4,3738,37.62
Oct-91,October,1991,8317,2.9,5684,37.54
Nov-91,November,1991,5528,3,3836,37.75
Dec-91,December,1991,11142,3.1,1739,37.39
Jan-92,January,1992,7041,2.6,1331,36.05
Feb-92,February,1992,9853,2.8,2155,35.78
Mar-92,March,1992,10204,3.2,2060,35.69
Apr-92,April,1992,19747,3.2,2125,35.7
May-92,May,1992,15902,3,47,35.72
Jun-92,June,1992,15848,3.1,2492,35.72
Jul-92,July,1992,17656,3.2,12300,35.72
Aug-92,August,1992,27844,3.1,9389,35.95
Sep-92,September,1992,17068,3,9691,36.05
Oct-92,October,1992,16512,3.2,6488,35.6
Nov-92,November,1992,11359,3,2711,34.26
Dec-92,December,1992,19345,2.9,14252,33.71
Jan-93,January,1993,10177,3.3,6757,33.47
Feb-93,February,1993,13840,3.2,7568,33.42
Mar-93,March,1993,14018,3.1,17821,30.49
Apr-93,April,1993,17252,3.2,9746,29.67
May-93,May,1993,7837,3.2,5818,29.55
Jun-93,June,1993,8258,3,11744,29.44
Jul-93,July,1993,6690,2.8,6159,29.42
Aug-93,August,1993,20629,2.8,9337,29.55
Sep-93,September,1993,23383,2.7,14049,29.55
Oct-93,October,1993,32028,2.8,8734,29.76
Nov-93,November,1993,31721,2.7,12589,30.09
Dec-93,December,1993,24588,2.7,28048,31.05
Jan-94,January,1994,21074,2.5,2303,31.19
Feb-94,February,1994,19090,2.5,2912,31.22
Mar-94,March,1994,22939,2.5,3827,33.21
Apr-94,April,1994,29217,2.4,6928,34.05
May-94,May,1994,39687,2.3,6021,34.19
Jun-94,June,1994,31522,2.5,5735,34.19
Jul-94,July,1994,26008,2.8,3426,34.62
Aug-94,August,1994,17150,2.9,11898,31.97
Sep-94,September,1994,16850,3,8595,31.97
Oct-94,October,1994,21319,2.6,6407,32.21
Nov-94,November,1994,17523,2.7,11256,32.66
Dec-94,December,1994,13741,2.7,24906,32.66
Jan-95,January,1995,15162,2.8,21110,43.1
Feb-95,February,1995,13779,2.9,8883,45.63
Mar-95,March,1995,19474,2.9,3510,47.6
Apr-95,April,1995,25210,3.1,14487,49.57
May-95,May,1995,25944,3.2,1705,42.98
Jun-95,June,1995,25909,3,1498,33.11
Jul-95,July,1995,22272,2.8,1341,33.43
